adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cote D'ivoire,Haut-Sassandra,,1500932,1,1350838.8,150093.2,0,0,0,0
Cote D'ivoire,Poro,,942103,2,687735.19,254367.81,0,0,0,0
Cote D'ivoire,Gbeke,,1094756,1,1007175.52,87580.48,0,0,0,0
Cote D'ivoire,Indenie-Djuablin,,637114,2,471464.36,159278.5,6371.14,0,0,6371.14
Cote D'ivoire,Tonkpi,,1122746,2,774694.74,325596.34,22454.92,0,0,22454.92
Cote D'ivoire,Gontougo,,713233,1,606248.05,106984.95,0,0,0,0
Cote D'ivoire,San-Pedro,,867089,1,711012.98,156076.02,0,0,0,0
Cote D'ivoire,Kabadougou,,210885,1,194014.2,16870.8,0,0,0,0
Cote D'ivoire,N'zi,,298857,2,218165.61,80691.39,0,0,0,0
Cote D'ivoire,Marahoue,,978377,1,890323.07,88053.93,0,0,0,0
Cote D'ivoire,Sud-Comoe,,677761,1,589652.07,88108.93,0,0,0,0
Cote D'ivoire,Worodougou,,292005,1,239444.1,52560.9,0,0,0,0
Cote D'ivoire,Loh-Djiboua,,818642,1,704032.12,114609.88,0,0,0,0
Cote D'ivoire,Agneby-Tiassa,,687819,1,619037.1,68781.9,0,0,0,0
Cote D'ivoire,Goh,,1051256,1,956642.96,94613.04,0,0,0,0
Cote D'ivoire,Cavally,,482456,2,381140.24,101315.76,0,0,0,0
Cote D'ivoire,Bafing,,215720,1,183362,32358,0,0,0,0
Cote D'ivoire,Bagoue,,459894,2,340321.56,119572.44,0,0,0,0
Cote D'ivoire,Belier,,397183,2,301859.08,95323.92,0,0,0,0
Cote D'ivoire,Bere,,449334,1,372947.22,76386.78,0,0,0,0
Cote D'ivoire,Bounkani,,305550,2,241384.5,64165.5,0,0,0,0
Cote D'ivoire,Folon,,110101,1,94686.86,15414.14,0,0,0,0
Cote D'ivoire,Gbokle,,420396,1,365744.52,54651.48,0,0,0,0
Cote D'ivoire,Grands-Ponts,,372062,1,334855.8,37206.2,0,0,0,0
Cote D'ivoire,Guemon,,1087300,2,761110,304444,21746,0,0,21746
Cote D'ivoire,Hambol,,505209,1,434479.74,70729.26,0,0,0,0
Cote D'ivoire,Iffou,,382067,2,282729.58,99337.42,0,0,0,0
Cote D'ivoire,La Me,,551325,2,413493.75,137831.25,0,0,0,0
Cote D'ivoire,Nawa,,1104579,1,994121.1,110457.9,0,0,0,0
Cote D'ivoire,Tchologo,,595035,1,517680.45,77354.55,0,0,0,0
Cote D'ivoire,Moronou,,420995,1,357845.75,63149.25,0,0,0,0
