adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cote D'ivoire,Nord,,1607497,2,1125247.9,401874.25,80374.85,0,0,80374.85
Cote D'ivoire,Ouest,,2371920,2,1826378.4,474384,71157.6,0,0,71157.6
Cote D'ivoire,Nord Ouest,,1134918,1,964680.3,147539.34,22698.36,0,0,22698.36
Cote D'ivoire,Nord Est,,934352,2,691420.48,205557.44,37374.08,0,0,37374.08
Cote D'ivoire,Centre,,1258604,1,1120157.56,125860.4,12586.04,0,0,12586.04
Cote D'ivoire,Centre Est,,1763484,1,1587135.6,158713.56,17634.84,0,0,17634.84
Cote D'ivoire,Centre Ouest,,3036246,1,2793346.32,242899.68,0,0,0,0
Cote D'ivoire,Sud Ouest,,2280548,1,2006882.24,228054.8,45610.96,0,0,45610.96
Cote D'ivoire,Sud,,1478047,2,1123315.72,295609.4,59121.88,0,0,59121.88
Cote D'ivoire,Centre Nord,,1440826,2,1138252.54,259348.68,43224.78,0,0,43224.78
