adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cote D'ivoire,Nord,,1478378,2,1123567.28,325243.16,29567.56,0,0,29567.56
Cote D'ivoire,Ouest,,2298244,2,1769647.88,459648.8,68947.32,0,0,68947.32
Cote D'ivoire,Nord Ouest,,1177012,2,918069.36,235402.4,23540.24,0,0,23540.24
Cote D'ivoire,Nord Est,,1114747,2,780322.9,312129.16,22294.94,0,0,22294.94
Cote D'ivoire,Centre,,1289534,1,1096103.9,193430.1,0,0,0,0
Cote D'ivoire,Centre Est,,1358436,1,1301381.688,40753.08,16301.232,0,0,16301.232
Cote D'ivoire,Centre Ouest,,3450405,1,3036356.4,345040.5,69008.1,0,0,69008.1
Cote D'ivoire,Sud Ouest,,2218746,2,1664059.5,488124.12,66562.38,0,0,66562.38
Cote D'ivoire,Sud,,3616528,2,2857057.12,723305.6,36165.28,0,0,36165.28
Cote D'ivoire,Centre Nord,,1718239,1,1580779.88,85911.95,51547.17,0,0,51547.17
