adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Cote D'ivoire,Nord,,1478378,2,1034864.6,369594.5,73918.9,0,0,73918.9
Cote D'ivoire,Ouest,,2298244,2,1608770.8,574561,114912.2,0,0,114912.2
Cote D'ivoire,Nord Ouest,,1177012,2,870988.88,270712.76,35310.36,0,0,35310.36
Cote D'ivoire,Nord Est,,1114747,2,746880.49,334424.1,33442.41,0,0,33442.41
Cote D'ivoire,Centre,,1289534,2,1018731.86,270802.14,0,0,0,0
Cote D'ivoire,Centre Est,,1358436,1,1195423.68,135843.6,27168.72,0,0,27168.72
Cote D'ivoire,Centre Ouest,,3450405,1,2863836.15,517560.75,69008.1,0,0,69008.1
Cote D'ivoire,Sud Ouest,,2218746,2,1553122.2,554686.5,110937.3,0,0,110937.3
Cote D'ivoire,Sud,,3616528,2,2676230.72,831801.44,108495.84,0,0,108495.84
Cote D'ivoire,Centre Nord,,1718239,2,1305861.64,257735.85,154641.51,0,0,154641.51
