adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Bomi,,100577,1,96553.92,4023.08,0,0,0,0
Liberia,Bong,,398730,1,382780.8,11961.9,3987.3,0,0,3987.3
Liberia,Gbarpolu,,99703,1,89732.7,9970.3,0,0,0,0
Liberia,Grand Bassa,,265069,1,257116.93,7952.07,0,0,0,0
Liberia,Grand Cape Mount,,151939,1,148900.22,3038.78,0,0,0,0
Liberia,Grand Gedeh,,149766,1,145273.02,4492.98,0,0,0,0
Liberia,Grand Kru,,69244,1,58857.4,10386.6,0,0,0,0
Liberia,Lofa,,331034,1,311171.96,16551.7,3310.34,0,0,3310.34
Liberia,Margibi,,250996,1,223386.44,25099.6,2509.96,0,0,2509.96
Liberia,Maryland,,166122,1,152832.24,13289.76,0,0,0,0
Liberia,Montserrado,,176260,1,169209.6,5287.8,1762.6,0,0,1762.6
Liberia,Nimba,,552426,1,530328.96,16572.78,5524.26,0,0,5524.26
Liberia,River Gee,,79857,1,68677.02,11179.98,0,0,0,0
Liberia,Rivercess,,85500,1,83790,1710,0,0,0,0
Liberia,Sinoe,,122424,1,107733.12,14690.88,0,0,0,0
