adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Mauritania,Hodh Ech Chargi,,476521,2,333564.7,104834.62,38121.68,0,0,38121.68
Mauritania,Hodh El Gharbi,,317930,2,228909.6,73123.9,15896.5,0,0,15896.5
Mauritania,Assaba,,349827,2,255373.71,73463.67,20989.62,0,0,20989.62
Mauritania,Tagant,,82035,2,59065.2,18047.7,4922.1,0,0,4922.1
Mauritania,Adrar,,64250,2,49472.5,12207.5,2570,0,0,2570
Mauritania,Nouakchott,,1089303,2,773405.13,272325.75,43572.12,0,0,43572.12
Mauritania,Inchiri,,22296,1,18728.64,3344.4,222.96,0,0,222.96
Mauritania,Dakhlet-Nouadhibou,,137515,1,112762.3,20627.25,4125.45,0,0,4125.45
Mauritania,Tiris-Zemmour,,60466,2,47163.48,9674.56,3627.96,0,0,3627.96
Mauritania,Guidimakha,,294176,2,226515.52,58835.2,8825.28,0,0,8825.28
Mauritania,Gorgol,,363018,2,272263.5,76233.78,14520.72,0,0,14520.72
Mauritania,Brakna,,330320,2,244436.8,69367.2,16516,0,0,16516
Mauritania,Trarza,,273920,1,224614.4,43827.2,5478.4,0,0,5478.4
