adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Guinea,Boke,Boffa,240375,1,197107.5,36056.25,7211.25,0,0,7211.25
Guinea,Boke,Boke,508861,2,356202.7,127215.25,25443.05,0,0,25443.05
Guinea,Boke,Fria,109372,1,90778.76,16405.8,2187.44,0,0,2187.44
Guinea,Boke,Gaoual,219021,1,179597.22,32853.15,6570.63,0,0,6570.63
Guinea,Boke,Koundara,146942,1,124900.7,19102.46,2938.84,0,0,2938.84
Guinea,Faranah,Dabola,316962,1,266248.08,47544.3,3169.62,0,0,3169.62
Guinea,Faranah,Dinguiraye,222206,2,177764.8,33330.9,11110.3,0,0,11110.3
Guinea,Faranah,Faranah,199270,1,179343,19927,0,0,0,0
Guinea,Faranah,Kissidougou,320484,1,288435.6,32048.4,0,0,0,0
Guinea,Kankan,Kankan,533530,1,480177,53353,0,0,0,0
Guinea,Kankan,Kerouane,234814,1,201940.04,32873.96,0,0,0,0
Guinea,Kankan,Kouroussa,303675,1,282417.75,21257.25,0,0,0,0
Guinea,Kankan,Mandiana,380093,2,296472.54,76018.6,7601.86,0,0,7601.86
Guinea,Kankan,Siguiri,766593,2,582610.68,160984.53,22997.79,0,0,22997.79
Guinea,Kindia,Coyah,298073,1,256342.78,35768.76,5961.46,0,0,5961.46
Guinea,Kindia,Dubreka,373292,2,287434.84,67192.56,18664.6,0,0,18664.6
Guinea,Kindia,Forecariah,274604,1,252635.68,21968.32,0,0,0,0
Guinea,Kindia,Kindia,496630,1,412202.9,74494.5,9932.6,0,0,9932.6
Guinea,Kindia,Telemele,321668,1,289501.2,25733.44,6433.36,0,0,6433.36
Guinea,Labe,Koubia,112877,2,84657.75,25961.71,2257.54,0,0,2257.54
Guinea,Labe,Labe,359522,1,334355.46,21571.32,3595.22,0,0,3595.22
Guinea,Labe,Lelouma,184289,1,164017.21,18428.9,1842.89,0,0,1842.89
Guinea,Labe,Mali,325362,1,263543.22,55311.54,6507.24,0,0,6507.24
Guinea,Labe,Tougue,140614,1,113897.34,23904.38,2812.28,0,0,2812.28
Guinea,Mamou,Dalaba,151154,1,128480.9,21161.56,1511.54,0,0,1511.54
Guinea,Mamou,Mamou,360700,1,317416,39677,3607,0,0,3607
Guinea,Mamou,Pita,314469,1,267298.65,44025.66,3144.69,0,0,3144.69
Guinea,N'zerekore,Beyla,368941,1,332046.9,36894.1,0,0,0,0
Guinea,N'zerekore,Gueckedou,328589,1,272728.87,49288.35,6571.78,0,0,6571.78
Guinea,N'zerekore,Lola,194109,1,161110.47,29116.35,3882.18,0,0,3882.18
Guinea,N'zerekore,Macenta,315023,1,296121.62,15751.15,3150.23,0,0,3150.23
Guinea,N'zerekore,N'zerekore,448501,1,381225.85,58305.13,8970.02,0,0,8970.02
Guinea,N'zerekore,Yomou,129315,1,116383.5,12931.5,0,0,0,0
