adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,Centre,Kadiogo,2519055,1,2493864.45,25190.55,0,0,0,0
Burkina Faso,Plateau Central,Ganzourgou,402798,1,398770.02,4027.98,0,0,0,0
Burkina Faso,Plateau Central,Oubritenga,298163,1,295181.37,2981.63,0,0,0,0
Burkina Faso,Plateau Central,Kourweogo,170474,2,131264.98,34094.8,5114.22,0,0,5114.22
Burkina Faso,Centre-Nord,Bam,353090,2,282472,67087.1,3530.9,0,0,3530.9
Burkina Faso,Centre-Nord,Namentenga,421925,2,337540,71727.25,12657.75,0,0,12657.75
Burkina Faso,Centre-Nord,Sanmatenga,764613,2,611690.4,145276.47,7646.13,0,0,7646.13
Burkina Faso,Centre-Ouest,Boulkiemde,627629,2,621352.71,6276.29,0,0,0,0
Burkina Faso,Centre-Ouest,Sanguie,368021,1,360660.58,7360.42,0,0,0,0
Burkina Faso,Centre-Ouest,Sissili,271329,1,268615.71,2713.29,0,0,0,0
Burkina Faso,Centre-Ouest,Ziro,236211,1,229124.67,7086.33,0,0,0,0
Burkina Faso,Centre-Sud,Bazega,288399,2,216299.25,57679.8,14419.95,0,0,14419.95
Burkina Faso,Centre-Sud,Nahouri,201915,2,159512.85,40383,2019.15,0,0,2019.15
Burkina Faso,Centre-Sud,Zoundweogo,310289,2,242025.42,62057.8,6205.78,0,0,6205.78
Burkina Faso,Sahel,Oudalan,260360,3,54675.6,117162,78108,10414.4,0,88522.4
Burkina Faso,Sahel,Seno,341132,2,330898.04,6822.64,3411.32,0,0,3411.32
Burkina Faso,Sahel,Soum,454634,3,86380.46,204585.3,140936.54,22731.7,0,163668.24
Burkina Faso,Sahel,Yagha,209783,2,207685.17,2097.83,0,0,0,0
Burkina Faso,Mouhoun,Kossi,347424,2,277939.2,52113.6,17371.2,0,0,17371.2
Burkina Faso,Mouhoun,Mouhoun,377211,1,369666.78,7544.22,0,0,0,0
Burkina Faso,Mouhoun,Sourou,271970,2,217576,35356.1,19037.9,0,0,19037.9
Burkina Faso,Mouhoun,Bale,271214,1,265789.72,5424.28,0,0,0,0
Burkina Faso,Mouhoun,Banwa,340499,1,333689.02,6809.98,0,0,0,0
Burkina Faso,Mouhoun,Nayala,203263,2,162610.4,28456.82,12195.78,0,0,12195.78
Burkina Faso,Est,Gnagna,527798,2,422238.4,100281.62,5277.98,0,0,5277.98
Burkina Faso,Est,Gourma,401701,1,397683.99,4017.01,0,0,0,0
Burkina Faso,Est,Tapoa,457451,1,443727.47,13723.53,0,0,0,0
Burkina Faso,Est,Komandjoari,109394,1,108300.06,1093.94,0,0,0,0
Burkina Faso,Est,Kompienga,111076,1,109965.24,1110.76,0,0,0,0
Burkina Faso,Centre-Est,Boulgou,698807,1,691818.93,6988.07,0,0,0,0
Burkina Faso,Centre-Est,Kouritenga,425237,1,420984.63,4252.37,0,0,0,0
Burkina Faso,Centre-Est,Koulpelogo,339316,1,335922.84,3393.16,0,0,0,0
Burkina Faso,Nord,Lorum,182295.788129154,2,180472.830247863,1822.95788129154,0,0,0,0
Burkina Faso,Nord,Passore,400844.386344892,2,396835.942481443,4008.44386344892,0,0,0,0
Burkina Faso,Nord,Yatenga,697829.604922102,2,690851.308872881,6978.29604922102,0,0,0,0
Burkina Faso,Nord,Zondoma,213883.747613082,2,209606.072660821,4277.67495226165,0,0,0,0
Burkina Faso,Sud-Ouest,Bougouriba,131076,1,127143.72,3932.28,0,0,0,0
Burkina Faso,Sud-Ouest,Poni,330355,1,313837.25,6607.1,9910.65,0,0,9910.65
Burkina Faso,Sud-Ouest,Ioba,238561,1,233789.78,4771.22,0,0,0,0
Burkina Faso,Sud-Ouest,Noumbiel,91353,1,90439.47,913.53,0,0,0,0
Burkina Faso,Hauts-Bassins,Houet,1267299,1,1254626.01,12672.99,0,0,0,0
Burkina Faso,Hauts-Bassins,Kenedougou,380676,1,376869.24,3806.76,0,0,0,0
Burkina Faso,Hauts-Bassins,Tuy,303015,1,296954.7,6060.3,0,0,0,0
Burkina Faso,Cascades,Comoe,575018,1,569267.82,5750.18,0,0,0,0
Burkina Faso,Cascades,Leraba,160650,1,155830.5,4819.5,0,0,0,0
