adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,,2479279,1,2330522.26,123963.95,24792.79,0,0,24792.79
Ghana,Eastern,,3099641,1,3006651.77,92989.23,0,0,0,0
Ghana,Greater Acrra,,4721889,2,3683073.42,991596.69,47218.89,0,0,47218.89
Ghana,Volta,,2491293,1,2366728.35,124564.65,0,0,0,0
Ghana,Western,,2954789,1,2866145.33,88643.67,0,0,0,0
Ghana,Ashanti,,5533011,1,5090370.12,387310.77,55330.11,0,0,55330.11
Ghana,Brong Ahafo,,2723050,1,2450745,245074.5,27230.5,0,0,27230.5
Ghana,Northern,,2925489,1,2632940.1,234039.12,58509.78,0,0,58509.78
Ghana,Upper East,,1216680,1,1082845.2,97334.4,36500.4,0,0,36500.4
Ghana,Upper West,,811124,1,730011.6,64889.92,16222.48,0,0,16222.48
